1,5,481
2,2,482
3,5,484
4,3,486
5,5,486
6,91,486
7,130,486
8,54,487
9,54,487
10,5,489
11,54,491
12,92,492
13,64,492
14,115,493
15,115,494
16,91,495
17,5,495
18,74,495
19,14,495
20,5,495
21,94,496
22,70,497
23,115,497
24,3,498
25,48,498
26,48,499
27,5,499
28,54,500
29,54,500
30,3,500
31,3,501
32,107,501
33,115,501
35,5,503
34,48,503
36,48,503
37,54,504
39,38,505
38,97,505
43,115,506
41,68,506
40,63,506
42,115,506
46,68,508
47,14,508
44,38,508
45,48,508
48,5,509
49,115,509
51,29,510
50,93,510
52,14,511
53,5,511
54,10,511
55,5,512
56,115,512
57,29,512
58,40,513
59,70,513
60,115,514
61,70,514
62,48,514
63,115,515
64,86,515
65,107,516
69,70,516
66,64,516
67,63,516
68,5,516
70,102,516
71,130,517
72,92,517
75,3,518
73,14,518
74,7,518
76,115,518
77,14,519
78,89,519
79,5,519
80,127,519
81,5,520
83,130,521
87,34,521
82,70,521
84,127,521
85,38,521
86,70,521
91,79,522
90,133,522
88,10,522
89,70,522
92,46,523
93,88,523
94,5,523
98,94,524
95,68,524
96,92,524
97,10,524
99,10,524
100,122,524
101,115,525
104,56,526
102,56,526
103,5,526
105,91,526
106,97,526
107,126,526
108,48,526
113,107,527
109,54,527
110,48,527
111,73,527
112,130,527
114,29,527
115,63,528
120,126,528
116,79,528
117,70,528
118,81,528
119,56,528
121,5,528
122,88,529
123,38,529
124,115,529
125,48,529
126,115,529
127,38,530
128,54,530
131,115,530
129,70,530
130,97,530
133,41,531
134,102,531
132,7,531
135,10,531
140,132,532
136,48,532
137,52,532
138,91,532
139,97,532
141,127,533
143,34,533
142,52,533
144,48,533
148,19,534
145,54,534
146,5,534
147,79,534
149,5,534
150,88,535
151,34,535
152,79,535
153,70,535
154,3,536
155,79,536
156,115,536
157,59,536
158,26,536
159,107,536
160,119,536
161,5,536
163,115,537
162,130,537
164,130,537
165,3,538
167,115,538
168,70,538
166,34,538
169,133,538
170,14,538
171,48,538
172,48,538
174,52,539
175,52,539
173,89,539
176,48,539
178,45,540
179,91,540
181,92,540
182,91,540
184,3,540
177,52,540
180,91,540
183,81,540
191,18,541
190,18,541
194,115,541
185,133,541
186,10,541
187,102,541
188,46,541
189,101,541
192,46,541
193,32,541
201,5,542
197,115,542
199,88,542
204,126,542
206,107,542
195,7,542
196,5,542
198,127,542
200,19,542
202,54,542
203,3,542
205,21,542
207,94,543
208,48,543
209,10,543
210,86,543
211,120,543
212,74,543
213,102,543
215,56,544
214,115,544
216,5,544
217,70,544
220,38,545
221,68,545
223,32,545
218,70,545
219,58,545
222,26,545
228,132,546
224,3,546
225,48,546
226,115,546
227,48,546
229,54,546
230,40,546
231,97,546
232,86,546
236,18,547
234,107,547
233,14,547
235,5,547
237,97,547
238,115,547
239,38,547
240,129,547
243,3,548
245,88,548
241,70,548
242,48,548
244,18,548
246,91,549
251,85,549
252,115,549
247,38,549
248,63,549
249,74,549
250,5,549
253,47,549
254,52,549
255,68,549
256,107,550
269,128,550
265,52,550
266,56,550
267,26,550
257,70,550
258,52,550
259,97,550
260,81,550
261,19,550
262,92,550
263,79,550
264,92,550
268,129,550
270,30,550
274,42,551
271,102,551
272,70,551
273,3,551
275,130,551
276,107,551
277,5,551
292,14,552
285,115,552
287,10,552
278,101,552
279,130,552
280,18,552
281,88,552
282,58,552
283,1,552
284,48,552
286,129,552
288,35,552
289,130,552
290,115,552
291,30,552
299,62,553
302,129,553
297,101,553
300,101,553
293,14,553
294,48,553
295,14,553
296,54,553
298,91,553
301,1,553
303,66,553
304,73,553
305,19,553
309,3,554
317,23,554
319,6,554
320,38,554
307,127,554
308,6,554
310,115,554
322,85,554
323,21,554
306,91,554
311,27,554
312,88,554
313,46,554
314,45,554
315,119,554
316,34,554
318,32,554
321,34,554
324,5,554
325,80,554
326,45,554
327,1,554
332,45,555
339,7,555
328,10,555
329,97,555
330,21,555
331,70,555
333,34,555
334,39,555
335,102,555
336,73,555
337,89,555
338,40,555
350,7,556
342,10,556
343,18,556
351,97,556
354,52,556
340,48,556
341,40,556
344,51,556
345,5,556
346,70,556
347,66,556
